#SOTU	D1_dataset_0	D2_dataset_1	D3_dataset_2	D4_dataset_3	D5_dataset_4	D6_dataset_5	D7_dataset_6	Taxonomy
SOTU20	43	16	0	20	84	0	0	Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;SOTU20
SOTU55	19	51	0	15	59	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;SOTU55
SOTU120	543	60	0	0	120	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;SOTU120
SOTU50	515	526	0	0	75	0	0	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;SOTU50
SOTU71	46	80	65	0	0	0	0	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Solobacterium;SOTU71
SOTU83	89	66	184	91	0	65	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;SOTU83
SOTU91	49	18	780	0	387	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;SOTU91
SOTU89	6	22	58	0	67	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Dorea;SOTU89
SOTU121	56	97	36	0	15	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;GOTU4;SOTU121
SOTU56	0	30	352	0	18	0	0	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Catenibacterium;SOTU56
SOTU28	42	0	0	40	98	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;PrevotellaceaeUCG-003;SOTU28
SOTU69	47	40	75	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Fusicatenibacter;SOTU69
SOTU40	536	0	0	134	14	15	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;SOTU40
SOTU49	18	29	17	17	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia;SOTU49
SOTU39	41	73	351	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Ruminococcusgauvreauiigroup;SOTU39
SOTU51	95	268	0	19	87	48	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;LachnospiraceaeNK4A136group;SOTU51
SOTU115	41	70	229	34	0	22	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;GOTU12;SOTU115
SOTU123	10	0	13	14	17	0	0	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;GOTU11;SOTU123
SOTU29	0	84	40	0	15	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;PrevotellaceaeUCG-003;SOTU29
SOTU100	120	0	206	0	11	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;SOTU100
SOTU85	68	10	0	0	38	0	0	Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;SOTU85
SOTU65	156	0	0	32	35	21	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;PrevotellaceaeNK3B31group;SOTU65
SOTU22	0	16	471	0	26	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Fournierella;SOTU22
SOTU41	16	0	70	0	221	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;SOTU41
SOTU79	318	108	96	0	0	0	0	Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Acidaminococcus;SOTU79
SOTU63	43	0	108	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Ruminococcustorquesgroup;SOTU63
SOTU8	128	0	0	0	0	44	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU8
SOTU26	0	30	461	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Eubacteriumruminantiumgroup;SOTU26
SOTU25	0	0	0	19	67	0	0	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;SOTU25
SOTU52	13	15	92	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;LachnospiraceaeNK4A136group;SOTU52
SOTU107	667	51	0	0	0	0	0	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;GOTU6;SOTU107
SOTU78	134	76	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-003;SOTU78
SOTU21	0	0	0	101	23	11	0	Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;SOTU21
SOTU106	0	0	8	0	5	33	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;LachnospiraceaeAC2044group;SOTU106
SOTU16	0	50	0	0	56	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;SOTU16
SOTU33	74	0	0	42	0	0	0	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Anaerovibrio;SOTU33
SOTU119	0	0	0	0	18	115	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;LachnospiraceaeNK4A136group;SOTU119
SOTU6	0	36	603	0	28	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU6
SOTU19	0	0	14	0	0	45	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;LachnospiraceaeXPB1014group;SOTU19
SOTU64	0	165	0	123	98	140	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;PrevotellaceaeNK3B31group;SOTU64
SOTU57	22	13	135	0	0	0	0	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Holdemanella;SOTU57
SOTU116	0	11	204	0	0	10	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Eubacteriumcoprostanoligenesgroup;GOTU2;SOTU116
SOTU44	0	0	0	8	215	0	0	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Veillonella;SOTU44
SOTU94	0	0	209	0	0	16	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;SOTU94
SOTU86	197	0	0	0	5	0	0	Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;SOTU86
SOTU108	1290	18	0	0	0	0	0	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;GOTU5;SOTU108
SOTU74	0	0	77	36	0	296	0	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus;SOTU74
SOTU73	0	0	0	8	216	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridiumsensustricto1;SOTU73
SOTU105	0	0	0	0	10	0	14602	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;SOTU105
SOTU23	0	0	0	0	25	21	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;PrevotellaceaeUCG-001;SOTU23
SOTU70	0	9	0	66	0	87	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-005;SOTU70
SOTU4	0	0	0	17	15	0	0	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;FamilyXIIIAD3011group;SOTU4
SOTU122	8	0	0	0	61	0	0	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;GOTU10;SOTU122
SOTU109	16	664	0	0	0	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;GOTU8;SOTU109
SOTU111	0	734	0	0	16	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;GOTU9;SOTU111
SOTU117	0	0	0	26	111	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Eubacteriumcoprostanoligenesgroup;GOTU3;SOTU117
SOTU1	0	0	0	0	0	511	0	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;SOTU1
SOTU43	224	0	0	0	0	0	0	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Selenomonas;SOTU43
SOTU76	0	0	0	0	260	0	0	Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Chlamydiaceae;Chlamydia;SOTU76
SOTU90	171	360	0	180	171	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;SOTU90
SOTU45	0	0	0	0	0	0	1861	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;SOTU45
SOTU82	0	0	0	0	0	40	0	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;SOTU82
SOTU34	0	0	0	0	0	0	93	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;SOTU34
SOTU102	0	0	74	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;UCG-008;SOTU102
SOTU81	0	0	0	0	0	20	0	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;SOTU81
SOTU114	124	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;GOTU1;SOTU114
SOTU61	0	0	0	0	114	0	0	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;SOTU61
SOTU93	0	164	0	0	0	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;SOTU93
SOTU92	0	0	0	0	0	23	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;SOTU92
SOTU60	0	0	0	0	0	0	61	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;SOTU60
SOTU66	0	0	10	12	0	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;PrevotellaceaeNK3B31group;SOTU66
SOTU84	74	0	0	0	0	0	0	Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;SOTU84
SOTU112	0	83	0	0	0	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;GOTU8;SOTU112
SOTU14	0	0	0	20	0	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU14
SOTU87	0	0	0	0	0	24	0	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;SOTU87
SOTU47	82	0	0	0	0	0	0	Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;SOTU47
SOTU124	72	0	0	0	0	0	0	Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales;FOTU1;GOTU13;SOTU124
SOTU101	0	0	72	0	0	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;SOTU101
SOTU30	0	0	0	19	0	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;PrevotellaceaeUCG-003;SOTU30
SOTU95	0	0	0	31	0	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;SOTU95
SOTU15	0	0	0	16	0	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU15
SOTU35	0	0	0	0	0	35	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Cellulosilyticum;SOTU35
SOTU75	0	0	0	12	0	0	0	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Eubacteriumnodatumgroup;SOTU75
SOTU68	0	0	0	29	0	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;PrevotellaceaeNK3B31group;SOTU68
SOTU42	0	0	0	14	0	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;SOTU42
SOTU104	0	0	0	15	0	0	0	Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;SOTU104
SOTU88	0	0	0	0	62	0	0	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;SOTU88
SOTU118	0	0	0	15	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;LachnospiraceaeAC2044group;SOTU118
